Name;ERD;OSB
700C  Velocity Aerohead (20mm wide x 19mm deep, 2001);602;0
700C  Velocity Aerohead (20mm wide x 21mm deep, 2000 and earlier);598;0
700C  Velocity Aerohead OC (Off Center);598;4
700C  Velocity Deep V (19mm wide x 30mm deep);582;0
700C  Velocity Dyad (24mm wide x 22mm deep);596;0
700C  Velocity Fusion (19mm wide x 25mm deep) Measured 596.4.;591;0
700C  Velocity Glider (26mm wide x 14mm deep);612;0
700C  Velocity Razor (20mm wide x 16mm deep);607;0
700C  Velocity Twin Hollow (22mm wide x 14mm deep);611;0
700C  Veulta Airline 3 ;585;0
700C  Vuelta Airline 2 622x13;595.9;0
700C  Vuelta Stylus 622x13;599.3;0
700C  Vuelta Vision;607;0
700C  Weinmann A129 ;619;0
700C  Wheelsmith Rimfire ;609;0
700C  Wolber TX Profil aero;602;0
700C  Wolber/Super Champion Gentleman 81;613;0
700C  Wolber/Super Champion Gentleman GTA2;614;0
700C  Wolber/Super Champion Gentleman GTX;614;0
700C  Wolber/Super Champion Module 58;615;0
700C  Wolber/Super Champion Module 59;615;0
700C  Wolber/Super Champion T430 Alpine;614;0
700C  WTB SpeedMaster 21x11.3 700c (32h, 21mm wide) ;606;0
700C  Zipp 110 17mm deep box section aluminum clincher;605;0
700C  Zipp 310 30mm deep aluminum clincher ;584;0
700C  Zipp 415 40mm deep carbon/aluminum clincher;567;0
700C  Zipp 520 82mm deep carbon/aluminum clincher;477;0
700C  Zipp 505 58mm deep carbon/aluminum clincher;529;0
700C  Zipp 530 58mm deep carbon/aluminum clincher;528;0
650A  Rigida AS 23 X (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);581;0
650A  Rigida AS 26 F (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);497;0
26x1 3/8  Rigida steel 26x1 3/8;582;0
26x1 3/8  Sun CR20 ;576;0
26x1 3/8  Sun L20;578;0
26x1 3/8  Sun M14A;570;0
26x1 3/8  Weinmann 2120 26x1 3/8;579;0
650B  Mavic Module 3, Module 4 ArgentD;572;0
650B  Rigida AS 26 F (ERD is Rigida's Nipple Seat Dia + 3mm for nipples);573.5;0
650B  Wolber M58 ;574;0
650C  Ambrosio Balance 20w x 22h;543;0
650C  American Classic carbon fiber V rim;482;0
650C  Araya ADX-510;549.3;0
650C  Araya RC-540;547.2;0
650C  Araya SA-530C Super Aero clincher (30mm deep);529;0
650C  Bontrager carbon aero, back-calculated from 221441 using 255, 257 spokes.;534;0
650C  Bontrager PN 220430 Race Lite road;546;0
650C  Bontrager PN 231265 Race Lite OSB road;547;0
650C  Bontrager PN 243756 RXL Aero Clincher;547;0
650C  Campagnolo Montreal '76 ;555;0
650C  Campagnolo Omega 19 ;556;0
650C  FiR Antara 2000;511;0
650C  FiR SRG30 (30mm deep aero rim, 440gms);525;0
650C  Mavic CXP12 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);549;0
650C  Mavic CXP14 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);539.5;0
650C  Mavic CXP14 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples) MEASURE TO BE SURE!!;540;0
650C  Mavic CXP14 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples) MEASURE TO BE SURE!!;536;0
650C  Mavic CXP33 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples) ;550;0
650C  Mavic MA40 ;559;0
650C  Mavic Open 4CD;554;0
