Name;dL;WL;dR;WR
Phil Wood road 7speed ;48.2;37.2;48.2;19.8
Phil Wood road 7speed ;48.2;35.7;48.2;21.3
Phil Wood road 7speed ;48.2;33.2;48.2;23.8
Phil Wood road 8speed ;48.2;39;48.2;18
Phil Wood road 8speed ;48.2;38.2;48.2;18.8
Phil Wood road 8speed ;48.2;35.7;48.2;21.3
Phil Wood small old ;42.5;35;42.5;35
Phil Wood small old ;42.5;38;48.5;19
Phil Wood small old ;42.5;36;48.5;21
Phil Wood small old ;42.5;33.5;48.5;23.5
Phil Wood Suspension ;57.5;35.3;57.5;35.3
Phil Wood Time Trial ;48.5;37.5;48.5;37.5
Phil Wood track double-sided, small flange;48.2;30;48.2;30
Phil Wood track front, small flange;48.2;34.5;48.2;34.5
Phil Wood track one-sided, small flange;48.5;44;48.5;30
Phil Wood track, large flange;66;43;66;29
Phil Wood wheelchair;41;29.5;41;29.5
Point HR;45;32;45;21
Power-tap;78;36.2;66;16.7
Power-tap ATB;78;30.5;66;19.5
Power-tap SL;70;31.8;70;18
Pulstar 28 hole;41.3;32.5;41.3;32.5
Pulstar 32 hole;47.6;32.5;47.6;32.5
Pulstar 7-spd 32-hole ;47.6;32;47.6;22
Pulstar 7-spd 36-hole;50.8;32;50.8;22
Pulstar 8-spd 32-hole ;47.6;34;47.6;20
Pulstar 8-spd 36-hole;50.8;34;50.8;20
Pure Power;48;35;48;35
Real front;40;34;40;34
Real rear, not for disc brake;37;37;54.5;21
Ringlé 6-spd MTB ;40;41.5;41;22.5
Ringlé 7-spd MTB ;40;38.5;41;25.5
Ringlé 7-spd road ;40;43;41;21
Ringlé 8-spd MTB ;40;39.5;41;20.5
Ringlé 8-spd road ;40;42;41;18
Ringlé Bubba ;40;34;40;34
Ringlé Bubba HR freewheel;40;38.5;41;25.5
Ringlé Super Bubba;45;34;45;22
Ringlé Super Bubba ;42;34;42;34
Ringlé Super Duper Bubba ;46;34;46;34
Ringlé SuperDuper Eight MTB ;52;34;52;21
Ringlé SuperEight MTB ;45;34;45;22
Ringlé SuperEight road ;45;36.5;45;19.5
Ringlé/Sun "Sun of Bubba";38;32;38;32
Ritchey disc Pro Skraxle;58;22;58;35
Ritchey Pro disc;58;35;58;20
Ritchey Z-hub MTB: WCS, Pro, Comp;38;38;38;38
Ritchey Z-hub MTB: WCS, Pro, Comp;45;28.1;45;21.9
Ritchey Z-hub road: Pro;45;28.6;45;21.3
Ritchey Z-hub road: WCS;45;28.5;45;21.5
Ritchey Z-hub road: WCS, Pro;38;36;38;36
Rocky Mountain disc QR20;62;24;62;32
Rohloff Speed Hub 500/14;100;30;100;30
Rolf ATB PN 210246 Urraco disc. Use 2.25 cross.;50;23.25;42;32.25
Rolf ATB PN 210668 Dolomite disc. Use 2.25 cross.;50;23.25;42;32.25
Rolf ATB PN 990034 Propel. Radial, heads out.;42;32.75;42;32.75
Rolf Road PN 200322 Vector Pro. Radial, heads out.;39;32.55;39;32.55
Rolf Road PN 200328 Vector Comp. Use 2.29 cross.;65;34.6;47;17.8
Rolf Road PN 200385 Vector Comp. Radial, heads out.;42;31.25;42;31.25
Rolf Road PN 210948 Vector. Use 2.25 cross.;65;34.58;47;17.75
Rolf Road PN 992473 Vector. Radial, heads out.;38;34.05;38;34.05
Rolf Road Vector Pro. Use 1.333 cross.;65;33;47;17.5
Rolf Track Vector Pro. Use 1.333 cross.;66;39;48;33
Rollex Freecoaster BMX;67;31;67;25
Roox Jim Bob;61;35;61;20
Roox Jim Bob 99 DH;61;25;61;30
Rotwild Schweizer Loop Inter-4;83;28.5;83;25.5
Sachs 3000, 5000, New Success;38.5;28.5;38.5;28.5
Sachs 3-speed coaster ;60;25.5;60;24.5
Sachs 3-speed drum brake ;89;30.5;89;23.5
Sachs 3-speed standard ;58;26.5;58;24
Sachs 3X7 Centera, Quarz ;67;35;67;20
Sachs 3x7 disc/non-disc;67;34;67;20
Sachs 3X7 Original ;67;37;67;18
Sachs 3X7 Traxx ;58;35;58;20
Sachs 7 speed cassette ;45;31.6;45;19.6
Sachs 8 speed cassette ;45;32.6;45;18.6
Sachs HT3020 drum brake ;87;35;87;17
Sachs Inter 12;105;37;131;23
Sachs Orbit Drum 6-speed ;90;36;90;19
Sachs Orbit Drum 7-speed ;90;37.2;90;17.8
Sachs Orbit MTB 7-speed ;67;39;54;18
Sachs Orbit standard 6-speed ;67;38;54;19
Sachs Pentasport coaster ;75;29.5;75;28.5
Sachs Pentasport drum ;90;29.5;90;30.5
Sachs Pentasport Std. ;75;29.6;75;29
Sachs Quartz disc;62;35;62;19
Sachs Quarz, Neos disc brake hubs;62;20;62;30
Sachs Quarz, Neos, Centera ;39;29.6;39;29.6
Sachs Super 7 coaster ;75;35.5;75;33
Sachs Super 7 drum ;75;35.7;75;34.8
Sachs Super 7 standard ;75;34.5;75;34
Sachs threaded ;45;34.1;45;17.1
Sachs threaded ;45;34.6;45;16.6
Sachs Traxx ;39;34;39;34
Sachs VT3000 drum brake ;87;26;87;26
Sachs VT5000 drum brake ;90;30;90;26
